method, time, visited, solutions
best_first_R2S, 10000, 44444, 0
montecarlo, 10000, 21385.0, 3.0
montecarloR2S, 10000, 16296.0, 15.0
domain_heuristics, 500, 1517, 24
best_first_R2S, 500, 3936, 0
montecarlo, 500, 3946.0, 0.0
montecarloR2S, 500, 2448.0, 4.0
domain_heuristics, 1000, 2501, 45
best_first_R2S, 1000, 7790, 0
montecarlo, 1000, 6316.0, 1.0
montecarloR2S, 1000, 3826.0, 6.0
domain_heuristics, 2000, 4305, 45
best_first_R2S, 2000, 7380, 0
montecarlo, 2000, 10813.0, 2.0
montecarloR2S, 2000, 5873.0, 14.0
domain_heuristics, 5000, 9307, 45
best_first_R2S, 5000, 25830, 0
montecarlo, 5000, 22320.0, 8.0
montecarloR2S, 5000, 10690.0, 29.0
domain_heuristics, 10000, 17589, 45
best_first_R2S, 10000, 30217, 0
montecarlo, 10000, 25477.0, 13.0
montecarloR2S, 10000, 16503.0, 47.0
domain_heuristics, 500, 1517, 33
best_first_R2S, 500, 1640, 0
montecarlo, 500, 4069.0, 1.0
montecarloR2S, 500, 2487.0, 11.0
domain_heuristics, 1000, 2583, 54
best_first_R2S, 1000, 7257, 0
montecarlo, 1000, 5995.0, 2.0
montecarloR2S, 1000, 4052.0, 21.0
domain_heuristics, 2000, 4223, 54
best_first_R2S, 2000, 12956, 0
montecarlo, 2000, 10813.0, 5.0
montecarloR2S, 2000, 6241.0, 49.0
domain_heuristics, 5000, 9389, 54
best_first_R2S, 5000, 25748, 0
montecarlo, 5000, 21353.0, 19.0
montecarloR2S, 5000, 11981.0, 105.0
domain_heuristics, 10000, 18163, 54
best_first_R2S, 10000, 30791, 0
montecarlo, 10000, 23032.0, 24.0
montecarloR2S, 10000, 19106.0, 169.0
domain_heuristics, 500, 1558, 24
best_first_R2S, 500, 3608, 0
montecarlo, 500, 3912.0, 0.0
montecarloR2S, 500, 2425.0, 4.0
domain_heuristics, 1000, 2665, 24
best_first_R2S, 1000, 7585, 0
montecarlo, 1000, 6170.0, 1.0
montecarloR2S, 1000, 3728.0, 8.0
domain_heuristics, 2000, 4633, 24
best_first_R2S, 2000, 12423, 0
montecarlo, 2000, 10824.0, 2.0
montecarloR2S, 2000, 5754.0, 12.0
domain_heuristics, 5000, 9963, 24
